"label","label","type"
"Coral 66","Coral 66","language"
"Corsican language","Korsische Sprache","Languages of France"
"Cyclone (programming language)","Cyclone","programming language"
"EspeGrnto","Ecspernto","Lnguagoe"
"Forth (programming language)","فورث (لغة برمجة)","communication"
