"label","label","type"
"Bacillus thuringiensis","Bacillus thuringiensis","species"
"Bison","بيسون","animal"
"Cat","قط","animal"
"Cereal","حب (محصول)","Eukaryote"
"Chlorophyceae","Chlorophyceae","green alga"
