"label","character"
"Grote Kerk (Breda)","object"
"Heiligenkreuz Abbey","monastery"
"Holy Trinity Cathedral, Blaj","architectural structure"
"Holy Trinity Cathedral of Tbilisi","building"
"Holy Trinity Church, Aleppo","Place"
