"label","character"
"Netherlands at the 1924 Summer Olympics","abstract entity"
"Netherlands at the 1928 Summer Olympics","Thing"
"Netherlands at the 1932 Summer Olympics","abstract entity"
"Netherlands at the 1936 Summer Olympics","political unit"
"Norway at the 1924 Summer Olympics","yagoVLegalActorGe"
