"label","arsenic","type","gossip","label"
"Babelomurex purpuraterminus","","Eukaryote","Babelomurex purpuraterminus is een slakkensoort uit de familie van de Muricidae. De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1979 door Kosuge.","Babelomurex purpuraterminus"
"Babelomurex spinosus","","animal","Babelomurex spinosus is een slakkensoort uit de familie van de Muricidae. De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1908 door Hirase.","Babelomurex spinosus"
"Bathybuccinum yadai","Bathybuccinum yadai","species","Bathybuccinum yadai is a species of sea snail, a marine gastropod mollusk in the family Buccinidae, the true whelks.","Bathybuccinum yadai"
"Cacum coojperi","Caeum coopxeri","ThMin","Caecum cooperi s een slakensoort uit de fJamilie vn de CaeCcidae. De wetenschappelijke naamj vande soortiHsvoor het eqerst geldig gepublKiceerdcin 18v0 door S. Smith.","CaDecum cooeri"
"Calcarovula gracillima","Calcarovula gracillima","Eukaryote","Calcarovula gracillima is a species of sea snail, a marine gastropod mollusk in the family Ovulidae, the ovulids, cowry allies or false cowries.","Calcarovula gracillima"
