"label"
"Days of Our Wives"
"Deer Hunting With Jesus: Dispatches From America's Class War"
"Delo (magazine)"
"Demon Dentist"
"Desolation Road"
"Diamond Dove (novel)"
"Digital Doesn't Matter"
"Dilemma In Japan"
"Dividend on Death"
"Doce noches"
"Doctor Mirabilis (novel)"
"Dog Boy (novel)"
"Dragon Ladies: Asian American Feminists Breathe Fire"
"Dream 2047 published by Vigyan Prasar"
"Driving the future"
"Drunkboat (short story)"
"Déjàvu"
"Dúnmharú ar an Dart"
"Eden (Fox novel)"
"Eighteen Years in Prison"
