"label","gossip","varietal","type","region","arsenic","label"
"Adelaide Hills wine region","The Adelaide Hills wine region is an Australian geographical indication for wine made from grapes grown in a specific area of the Adelaide Hills east of Adelaide in South Australia.","Chardonnay","place","Piccadilly Valley wine sub-region","Adelaide Hills wine region","Adelaide Hills wine region"
"Rasteau AOC","Rasteau is an Appellation d'Origine Contrôlée for wine in the southern Rhône wine region of France, covering both fortified and unfortified wines. The sweet fortified wines (Vin Doux Naturel, VDN) can be red, rosé or white, and have long been produced under the Rasteau AOC. In 2010 dry red wines (unfortified) were also added to the appellation, effective from the 2009 vintage.","","location","","","Rasteau AOC"
"Lake County wine","Lake County wine is an appellation that designates wine made from grapes grown mostly in Lake County, California, located north of Napa County. Although each region within the county has unique viticultural attributes, all are influenced by Clear Lake, the largest inland body of water in the state of California. Cabernet Sauvignon is the most planted grape varietal, with Merlot a distant second.","","object","","","Lake County wine"
"Balti (wine)","Balti is a Moldovan wine region. This area has no sizable industrial vineyards. Here are plants for the production of cognac wine materials, special fortified wines and partially for the production of table wine. In the north of Moldova mainly white grape varieties sorts are grown: Aligote, Pinot, Fetească, Traminer.","","place","","","Balti (wine)"
"Észak-Dunántúl wine region","Észak-Dunántúl wine region is one of the seven larger wine regions of Hungary. It consists of four wine regions around Buda and the upper Danube: Etyek-Buda, Neszmély, Mór and Pannonhalma. On its limestone-based soil exclusively white wines are produced. International varieties – Chardonnay, Sauvignon blanc, Rhine riesling, Tramini and Muscat Ottonel – play a significant role, but traditional local varieties are also present, such as Olaszrizling, Leányka and in Mór also Ezerjó.","","physical entity","","","Észak-Dunántúl wine region"
