"label","arsenic","type","gossip","label"
"2013–14 Fairleigh Dickinson Knights men's basketball team","2013–14 Fairleigh Dickinson Knights men's basketball team","period","The 2013–14 Fairleigh Dickinson Knights men's basketball team represented Fairleigh Dickinson University during the 2013–14 NCAA Division I men's basketball season. The team was led by first year head coach Greg Herenda. He is the seventh head coach in the programs history. The Knights played their home games at the Rothman Center and were members of the Northeast Conference. they finished the season 10–21, 6–10 in Northeast Conference play to finish in eighth place. They lost in the quarterfinals of the Northeast Conference Tournament to Robert Morris.","2013–14 Fairleigh Dickinson Knights men's basketball team"
"2013–14 Morehead State Eagles men's basketball team","2013–14 Morehead State Eagles men's basketball team","fundamental measure","The 2013–14 Morehead State Eagles men's basketball team represented Morehead State University during the 2013–14 NCAA Division I men's basketball season. The Eagles, led by second year head coach Sean Woods, played their home games at Ellis Johnson Arena and were members of the East Division of the Ohio Valley Conference. They finished the season 20–14, 10–6 in OVC play to finish in third place in the East Division. They advanced to the semifinals of the OVC Tournament where they lost to Belmont. They were invited to the College Basketball Invitational where they lost in the first round to Illinois State.","2013–14 Morehead State Eagles men's basketball team"
"2013–14 Old Dominion Monarchs basketball team","","season","The 2013–14 Old Dominion Monarchs basketball team represented Old Dominion University during the 2013–14 NCAA Division I men's basketball season. The Monarchs, led by first year head coach Jeff Jones, played their home games at Ted Constant Convocation Center and were first year members of the Conference USA. They finished the season 18–18, 9–7 in C-USA play to finish in sixth place. They advanced to the quarterfinals of the C-USA Tournament to Middle Tennessee. They were invited to the College Basketball Invitational where they defeated South Dakota State and Radford to advance to the semifinals where they lost to Fresno State.","2013–14 Old Dominion Monarchs basketball team"
"2013–14 Sacramento State Hornets men's basketball team","2013–14 Sacramento State Hornets men's basketball team","season","The 2013–14 Sacramento State Hornets men's basketball team represented California State University, Sacramento during the 2013–14 NCAA Division I men's basketball season. The Hornets were led by sixth year head coach Brian Katz and played their home games at Colberg Court. They were members of the Big Sky Conference.The Hornets enter the season with a new assistant coach in Chris Walker, who was promoted from Director of Basketball operations.","2013–14 Sacramento State Hornets men's basketball team"
"2013–14 UC Riverside Highlanders men's basketball team","","national collegiate athletic association team season","The 2013–14 UC Riverside Highlanders men's basketball team represented the University of California, Riverside during the 2013–14 NCAA Division I men's basketball season. The Highlanders are led by first year head coach Dennis Cutts and played their home games at the UC Riverside Student Recreation Center as members of the Big West Conference. They finished the season 10–21, 5–11 in Big West play to finish in eighth place. They lost in the quarterfinals of the Big West Conference Tournament to UC Irvine.","2013–14 UC Riverside Highlanders men's basketball team"
