"label","label","type","gossip"
"Juniperus pseudosabina","Можжевельник ложноказацкий","species","Juniperus pseudosabina est une espèce de plante de la famille des genévriers que l'on trouve le plus communément dans les montagnes d'Asie centrale entre 2000 et 4000 mètres d'altitude."
"Larch","Larch","Thing",""
"Pagiophyllum","Pagiophyllum","Eukaryote",""
"Pinus tabuliformis","Pinus tabuliformis","Thing",""
"Podocarpus latifolius","","object",""
