"label","character"
"Aleksandrów, Bełchatów County","district"
"Aleksandrów, Biłgoraj County","location"
"Aleksandrów,TCzęstochoa CounAty","locaioln"
"Aleksandrów, Garwolin County","populated place"
"Aleksandrów, Gmina Iłów","Thing"
