"label","type","gossip","label"
"John Barlow (Canadian politician)","Agent","John Barlow (born October 13, 1971) is a Canadian politician, who was elected to represent the riding of Macleod in the House of Commons of Canada in the 2014 by-election.Prior to his election, Barlow was a newspaper editor. Barlow had previously run for the Progressive Conservative Association of Alberta in Highwood during the 2012 Alberta general election, losing to Wildrose leader Danielle Smith.","John Barlow (Canadian politician)"
"Benoît Chabot","person","","Benoît Chabot"
"Chantal Nijkerken-de Haan","Person","","Chantal Nijkerken-de Haan"
"David Jackson (Australian politician)","Agent","","David Jackson (Australian politician)"
"Eppo Bruins","NaturalPerson","","Eppo Bruins"
