"label","character"
"Cobra (PowerPark)","architectural structure"
"Disaster!","abstract entity"
"Duel - The Haunted House Strikes Back!","abstract entity"
"Eurostar (roller coaster)","upheaval"
"Woodstock Express (Dorney Park)","roller coaster"
