"label","type","type"
"Aubrey_Powell_(designer)__10","CreativeWork","speech"
"Aubrey_Powell_(designer)__11","document","speech"
"Aubrey_Powell_(designer)__2","work","speech"
"Aubrey_Powell_(designer)__3","document","speech"
"Aubrey_Powell_(designer)__4","document","speech"
