"label","label","type"
"Rhythm and blues","Rhythm-and-blues","MusicalComposition"
"Rock music","Rock","genre"
"Samba","سامبا","music genre"
"Enka","Enka","auditory communication"
"Jesus music","Jesus music","Thing"
