"label","character"
"Bellevue Range Rear Light","Lighhouse"
"Cape Borda Lightstation","tower"
"Cape Henlopen Light","object"
"Castillo San Felipe del Morro Lighthouse","physical entity"
"Cherry Island Range Rear Light","Place"
