"label","character"
"San Antonio Independent School District v. Rodriguez","unit of work"
"Schechter Poultry Corp. v. United States","legal case"
"Tinsley v. Treat","Thing"
"Downes v. Bidwell","psychological feature"
"Goss v. Lopez","abstract entity"
