"label"
"Camogie"
"Hurling"
"Rounders"
"Shinty"
"Racewalking"
"Wheelchair Football (American)"
"Combined driving"
"Amateur radio direction finding"
"Asia Pacific Activities Conference"
"Cyclo-cross"
"Endurance riding"
"Paddle tennis"
"Ski cross"
"Sport stacking"
"Sepak takraw"
"Лыжный хаф-пайп"
"Wherigo"
"Boccia"
"Indoor field hockey"
"Roller in-line hockey"
