"label"
"Mun Bhuridatta"
"Shaker Elsayed"
"Abe no Seimei"
"Burhanuddin Gharib"
"Fray Juan de Torquemada"
"Gudō Wafu Nishijima"
"Ingen"
"Jinul"
"Philip Kapleau"
"Emma Lee French"
"Soyen Shaku"
"Masao Abe"
"Sengcan"
"Yuanwu Keqin"
"Cheng Yen"
"Hsin Ting"
"Ledi Sayadaw"
"Rennyo"
"Edwin Otway Burnham"
"大森曹玄"
