"label"
"Jim Hall (boxer)"
"Joe Brown (boxer)"
"Jorge Castro (boxer)"
"Kevin Anderson (boxer)"
"Kevin Mitchell (boxer)"
"Lee Sala"
"Leonardo Zappavigna"
"Luis Ortiz (Puerto Rican boxer)"
"Milo Calhoun"
"Napa Kiatwanchai"
"ポール・バトラー (ボクサー)"
"Paul Jones (boxer)"
"Percy Vear"
"Roy Jones, Jr."
"Satoshi Shimizu"
"Satoshi Shingaki"
"スチュアート・ホール (ボクサー)"
"Taurus Sykes"
"Terry Marsh (boxer)"
"Tom Sharkey"
