"label"
"Yuki Sohma"
"Xellos"
"Asuka Langley Soryu"
"Goku"
"Mamoru Endō"
"Moka Akashiya"
"Piccolo (Dragon Ball)"
"سكار"
"Jimmy Kudo"
"Keiichi Morisato"
"Kiyo Takamine and Zatch Bell"
"Lambo (Katekyō Hitman Reborn!)"
"Roronoa Zoro"
"Saber (Fate/stay night)"
"Shaoran"
"Yukishiro Tomoe"
"Char Aznable"
"Hayao Kakizaki"
"Dejiko"
"Legato Bluesummers"
