"label","Wikipage page ID"
"Telethusa","2303149"
"Triteia","29597783"
"Adrestia",""
"Beoto",""
"Oxyntes",""
"Soos",""
"Perimedes",""
"Leukippos (Sohn des Thurimachos)",""
"Écéchiria",""
"Mysus",""
"Ktimene (Tochter des Laertes)",""
"Gelos (mythology)",""
"Eurynome (Tochter des Nisos)",""
"Psalacantha",""
"Aitnaios",""
"Halkyon",""
"Arpalico",""
"Pindus (mythology)",""
"Prophasis",""
"Eupeithes",""
