"label"
"55 Cancri"
"70 Ophiuchi"
"82 G. Eridani"
"Alnitak"
"Beta Hydri"
"Delta Pavonis"
"Eta Cassiopeiae"
"GSC 02652-01324"
"Gliese 570"
"Groombridge 1618"
"Iota Orionis"
"Luyten 726-8"
"Mu Arae"
"PSR B1620-26"
"PSR B1829−10"
"Sigma Draconis"
"Tau Boötis"
"Xi Boötis"
"11 Ursae Minoris"
"14 Boötis"
