"label"
"Pope Pelagius I"
"Pope Pelagius II"
"Pope Pius VII"
"Pope Severinus"
"Pope Simplicius"
"Pope Theodore I"
"Pope Vigilius"
"Pope John IV of Alexandria"
"Pope John XIX of Alexandria"
"Saint Peter"
"Pope Agatho"
"Pope Gabriel IV of Alexandria"
"Pope Donus"
"Pope Eumenes of Alexandria"
"Pope Justus of Alexandria"
"Pope Joseph II of Alexandria"
"Pope Sisinnius"
"Pope Demetrius II of Alexandria"
"Pope Demetrius I of Alexandria"
"Pope Dionysius of Alexandria"
