"label"
"Carl Peterson"
"Hudson Houck"
"Ken Zampese"
"Larry Cook"
"Lovie Smith"
"Harland Svare"
"Myrel Moore"
"Pat McPherson"
"Joe Whitt, Jr."
"Al Davis"
"Brad Seely"
"Jon Embree"
"Mike Westhoff"
"Art Rooney"
"Chuck Pagano"
"Greg Schiano"
"Terry Robiskie"
"Andy Reid"
"Ernie Adams (American football)"
"Skip Peete"
