"label","Sterbedatum"
"嗣子鵬慶昌","2005-10-07"
"奥田朱理",""
"Sid Eudy",""
"Steve Keirn",""
"Steve Regal",""
"Stigma (luchador)",""
"Stigma (wrestler)",""
"Takahiro Suwa",""
"تارين تيريل",""
"The Warlord (wrestler)",""
"Thunderbolt Patterson",""
"Tiger Ali Singh",""
"Tiger Jeet Singh",""
"苫小牧卓也",""
"Tori (wrestler)",""
"Toshiyo Yamada",""
"つくし (プロレスラー)",""
"Virgil (wrestler)",""
"Vladimir Kozlov",""
"William Regal",""
