"label"
"Tulsa Oilers"
"Utica Comets"
"Vancouver Nats"
"Viking IK"
"Waterloo Black Hawks"
"Wellington Dukes"
"Whitby Fury"
"Whitby Lawmen"
"Wilkes-Barre/Scranton Penguins"
"York Typhoon"
"Île-des-Chênes North Stars"
"Aguasabon River Rats"
"Brampton Capitals"
"Charlottetown Abbies"
"Edmonton Oil Kings (WCHL)"
"HK 36 Skalica"
"Hockey Club de Reims"
"KH Sanok"
"Lempäälän Kisa"
"Listowel Jets"
