"label"
"Chii"
"Chrome Dokuro"
"إرين ييغر"
"Near"
"Hao Asakura"
"Hayato Gokudera"
"Kyo Sohma"
"天地無用!シリーズの登場人物"
"Misa Amane"
"Makoto Kino"
"Sena Kobayakawa"
"Spike Spiegel"
"Trunks (Dragon Ball)"
"Yoh Asakura"
"Tsuna Sawada"
"Shogo Makishima"
"Ginta Toramizu"
"Rolo Lamperouge"
"Sakura Haruno"
"Seishiro Sakurazuka"
