"label"
"Natsumi Tsujimoto"
"Shizuka Minamoto (Character)"
"ماجد كامل"
"Amuro Ray"
"Sailor Pluto"
"Sailor Saturn"
"Belldandy"
"Caerula Sanguis"
"The Devilish Blue Buffalo"
"Yōichi Hiruma"
"Mello"
"Dr. Tenma"
"Fujiko Mine"
"إل (مذكرة الموت)"
"Lacus Clyne"
"Mayuri Kurotsuchi"
"Rukia Kuchiki"
"Shinya Kogami"
"Sōsuke Aizen"
"Uryū Ishida"
