"label"
"KM Ostrów Wielkopolski"
"Lejonen Gislaved"
"Masarna Avesta"
"PSŻ Poznań"
"Start Gniezno"
"Norwich Stars"
"King's Lynn Stars"
"Newcastle Diamonds"
"White City Rebels"
"Romford Bombers"
"Sheffield Tigers"
"Doncaster Stallions"
"Swindon Robins"
"Reading Racers"
"Weymouth Wildcats"
"Edinburgh Monarchs"
"Lakeside Hammers"
"Rochdale Hornets (speedway)"
"West Ham Hammers"
"Lokomotiv Daugavpils"
