"label"
"Dori of Yejju"
"Erich I. (Braunschweig-Grubenhagen)"
"Erich I. (Braunschweig-Calenberg-Göttingen)"
"Erich (Mecklenburg)"
"Erich II. (Mecklenburg)"
"Erich II. (Pommern)"
"Faisal bin Turki bin Abdullah Al Saud"
"Frederick I, Duke of Württemberg"
"Frederick IV, Duke of Austria"
"Frederick IV, Duke of Holstein-Gottorp"
"Friedrich IX. (Hohenzollern)"
"Friedrich von Brandenburg (1588–1611)"
"Friedrich VI. (Zollern)"
"Friedrich VI. (Baden-Durlach)"
"Friedrich VII. (Zollern)"
"Friedrich VII. Magnus (Baden-Durlach)"
"Friedrich VIII. (Zollern)"
"Henry IX, Duke of Bavaria"
"Henry Percy, 1st Earl of Northumberland"
"Jean II, Duke of Alençon"
