"label"
"Adelaide Adrenaline (Women)"
"Berkshire Battalion"
"Berlin River Drivers"
"Brisbane Goannas"
"Conception Bay North Eastlink CeeBee Stars"
"Dayton Demolition"
"Euless Junior Stars"
"Gander Flyers"
"KeuPa HT"
"Kulager Petropavl"
"MHK Humenné"
"Melbourne Ice (Women)"
"Nashville Junior Predators"
"New Jersey Junior Titans"
"Niagara Whalers"
"North York Renegades"
"Port Huron Prowlers"
"Sydney Sirens"
"СКА-1946"
"Tahoe Icemen"
