"label"
"Ernesto Civardi"
"Eugène Tisserant"
"Ferdinando Giuseppe Antonelli"
"Francesco Marchisano"
"Francesco Monterisi"
"Francesco di Paola Cassetta"
"Giovanni Colombo"
"Giovanni Coppa"
"Giuseppe Casoria"
"John Onaiyekan"
"Jorge Medina"
"Pericle Felici"
"Silvio Oddi"
"Virgilio Noè"
"Valerian Gracias"
"Alfred Bengsch"
"Anton Josef Gruscha"
"Girolamo Grimaldi-Cavalleroni"
"Paolo Emilio Rondinini"
"Stanisław Ryłko"
