"label"
"Lopevi"
"Lubukraya"
"Maly Semyachik"
"Manam"
"Mandalagan"
"Mare Island (Indonesia)"
"Mayon Volcano"
"Mendeleyeva"
"Mont Ross"
"Moti Island"
"Adatara"
"Mount Agung"
"Mount Alu"
"Mount Apo"
"Mount Arayat"
"Azuma-Kofuji"
"Mount Balbi"
"Mount Bandai"
"Ambalatungan"
"Cereme"
