"label"
"Rab Smith"
"Ulf Ceder"
"Charl Pietersen (darts player)"
"Jamie Hughes (darts player)"
"Jan van der Rassel"
"Preston Ridd"
"Boris Krčmar"
"Lee Choon Peng"
"Michael Rosenauer"
"Osmann Kijamet"
"Alex Hon"
"Peter Masson"
"Colin Monk"
"Jarkko Komula"
"Mensur Suljović"
"Pat Orreal"
"Simon Whatley"
"Gerda Weltz"
"Sam Head"
"Jan Larsen (darts player)"
