"label"
"John McTaggart Ellis McTaggart"
"Nikolay Lossky"
"Abd-al-Baqi al-Zurqani"
"Abu Zayd al-Balkhi"
"Alice Crary"
"Barbara Aland"
"بيجن العبدالکریمي"
"Camillo Baldi"
"Chantal Mouffe"
"Curt John Ducasse"
"Frances Kamm"
"Francisco Sanches"
"Ignacio Ellacuría"
"Irfan Abidi"
"James Griffin (philosopher)"
"John Lachs"
"Joseph Maréchal"
"Justin Leiber"
"Michael J. Sandel"
"Michael Tye"
