"label"
"Australian Alps"
"Baikalgebirge"
"Balkan Mountains"
"Bamboesberg"
"Batura Muztagh"
"Bellenden Ker Range"
"Berserker Range"
"Bilauktaung"
"Bismarck Range"
"Blackall Range"
"Bogong High Plains"
"Budawang Range"
"Bunya Mountains"
"Burejagebirge"
"Diancang Shan"
"Cardamom Mountains"
"Carnarvon Range"
"Cathedral Range (Victoria)"
"Conondale Range"
"Cromwell Mountains"
