"label"
"Doosan Handball Club"
"Dunaferr SE"
"Dunaújvárosi NKS"
"Fehérvár KC"
"FIF København"
"HP Warta"
"Horsens HK"
"IDTC Handball Club"
"IUVENTA Michalovce"
"Váci NKSE"
"Kadetten Schaffhausen"
"Luxemburgische Männer-Handballnationalmannschaft"
"Metz Handball"
"RK Radnički Kragujevac"
"Rukometni Klub Jeleznicar Nis"
"Équipe de Slovaquie de handball féminin"
"Team Esbjerg"
"Thüringer HC"
"Selección masculina de balonmano de Uruguay"
"Équipe d'Ouzbékistan de handball féminin"
