"label"
"Croatia–Slovenia"
"Dwars door de Vlaamse Ardennen"
"Himmerland Rundt"
"Internationale Wielertrofee Jong Maar Moedig"
"Kreiz Breizh Elites"
"Tour du Gévaudan Languedoc-Roussillon"
"Tour du Loir-et-Cher"
"Tour of the Reservoir"
"Tour de Canakkale"
"Velothon Wales"
"Clásica Córcega"
"Oberösterreich-Rundfahrt"
"Okolo jižních Čech"
"Ronde de l’Oise"
"Tour des Pays de Savoie"
"Vuelta Ciclista del Uruguay"
"Czech Cycling Tour"
"GP Beeckman-De Caluwé"
"Vuelta a Navarra"
"Gran Premio Adria Mobil"
