"label"
"アブドーラ小林"
"Alex Wright"
"Bestia 666"
"ブラック・キャット (プロレスラー)"
"トム・ラティマー"
"براي وايت"
"Brute Bernard"
"Diablo Velasco"
"Diamond Dallas Page"
"Disco Machine"
"Fire (wrestler)"
"GENTARO"
"Paulo César da Silva"
"大和ヒロシ"
"James Mitchell (manager)"
"Jazz (wrestler)"
"Jeff Gaylord"
"ジョン・ダ・シルバ"
"ジョニー・パワーズ"
"Kamala (wrestler)"
