"label"
"Lernik Papyan"
"Roman Kapitonenko"
"Sebastian Köber"
"Lee Trautsch"
"Aziz Ali (boxer)"
"Daniel Beahan"
"Herry Saliku Biembe"
"Roberto Cammarelle"
"Ruslan Myrsatayev"
"Wang Jianzheng"
"Julius Indongo"
"Pietro Aurino"
"Károly Balzsay"
"Lee Ok-sung"
"文成吉"
"Richard Santiago"
"Vahdettin İşsever"
"Yakup Kılıç"
"Yang Xiangzhong"
"Aybek Abdymomunov"
