"label"
"Regional Basketball League (Lithuania)"
"Dutch Basketball League"
"الدوري البرازيلي لكرة السلة"
"State Basketball League"
"Supercopa de España de Baloncesto"
"Women's Basketball Invitational"
"Willi Brinkmann Cup"
"All–Military Classic"
"Haarlem Basketball Week"
"Yugoslav Women's Basketball League"
"Чемпионат Сербии по баскетболу среди женщин 2011/2012"
"Copa Naismith"
"Iowa Big Four men's college basketball"
"Coupe de Pologne de basket-ball"
"Чемпионат Сербии по баскетболу среди женщин 2013/2014"
"NAIA Men's Basketball Championships"
"Second Division Men (Icelandic basketball)"
"National Basketball League (United States)"
"Lega Basket Serie A"
"Liga de Desenvolvimento de Basquete"
