"label"
"Suisei (spacecraft)"
"Viking 1"
"Luna 17"
"Luna 21"
"Mars 2"
"Mars 3"
"Innovative Space-based Radar Antenna Technology"
"恒久型多目的モジュール"
"SOCRATES (satellite)"
"Deep Space 2"
"POLDER"
"Lunar Lander (space mission)"
"Selene-2"
"Moon Mineralogy Mapper"
"Badr (satellite)"
"TIROS-N/NOAA"
"Deep Space 1"
"Mariner 5"
"Mariner 6 and 7"
"NEAR Shoemaker"
