"label"
"Gestreifter Zwergflusskrebs"
"Knabenkrebs"
"Louisiana-Zwergflusskrebs"
"Cambarus diogenes"
"Cambarus nerterius"
"Cambarus zophonastes"
"Cape lobster"
"ハマガニ"
"Cherax holthuisi"
"Cherax nucifraga"
"Cherax parvus"
"Cherax quadricarinatus"
"Cherax quinquecarinatus"
"Cherax tenuimanus"
"ベンケイガニ"
"アカテガニ"
"Engaewa similis"
"Euastacus jagara"
"Euastacus maidae"
"Euastacus sulcatus"
