"label"
"Grigori Beï-Bienko"
"Helmuth Holzinger"
"Lambertus Johannes Toxopeus"
"Ignaz Schiffermüller"
"Léon Fairmaire"
"Alexander Barrett Klots"
"Хаазе, Эрих"
"Кузнецов, Николай Яковлевич"
"Jean Étienne Bercé"
"François Josephe Fettig"
"Luis Ceballos y Fernández de Córdoba"
"Oktawiusz Radoszkowski"
"Hermann Schmitz (Entomologe)"
"Adolf Horion"
"Christian Friedrich Richter"
"Heinrich Christian Burckhardt"
"Heinrich Jakob Laspeyres"
"Josef Fahringer"
"Otto Garlepp"
"Theodor Otto Thieme"
