"label"
"Detroit Metal City"
"DIVE!!"
"ドーベルマン刑事"
"Dolls (1995 manga)"
"Doubt!!"
"Dragon Nest"
"Ef – a fairy tale of the two."
"Enigma (manga)"
"えの素"
"Fire! (manga)"
"From Eroica with Love"
"Gangsta (manga)"
"Gosick"
"Grenadier (manga)"
"Gundam Sentinel"
"Haruka Seventeen"
"Harukanaru Toki no Naka de"
"Harukanaru Toki no Naka de Hachiyō Shō"
"Hot Tails"
"殺し屋1"
