"label"
"Dioon spinulosum"
"Zamia polymorpha"
"زاميا أرجوانية"
"Stangeria"
"Cycas panzhihuaensis"
"Macrozamia secunda"
"Cycas beddomei"
"زاميا أمازونية"
"Cycas pruinosa"
"Macrozamia cranei"
"Lepidozamia"
"Encephalartos ferox"
"Encephalartos horridus"
"Encephalartos villosus"
"Cycas ferruginea"
"Macrozamia douglasii"
"Bowenia"
"Zamia amplifolia"
"Zamia soconuscensis"
"Ceratozamia morettii"
