"label"
"George Gossip"
"Harry Nelson Pillsbury"
"Hermann von Gottschall"
"Jonathan Mestel"
"Joshua Friedel"
"Kiril Georgiew"
"Louis-Charles Mahé de La Bourdonnais"
"Martha Fierro"
"Nelson Mariano"
"Orla Hermann Krause"
"Pascal Charbonneau"
"Pjotr Arsenjewitsch Romanowski"
"Predrag Nikolić"
"Rani Hamid"
"Richárd Rapport"
"Tania Sachdev"
"Vasja Pirc"
"Wang Lei (szachistka)"
"Jelena Dembo"
"Yevgeniy Vladimirov"
