"label"
"Roberto Eduardo Viola"
"Rómulo Gallegos"
"Sabine Bergmann-Pohl"
"Syngman Rhee"
"Tomáš Garrigue Masaryk"
"Vytautas Landsbergis"
"William King (Canadian politician)"
"Zhou Nan"
"Agnes Hennessy"
"Carlos Delgado Chalbaud"
"David Dacko"
"Kosrat Rasul Ali"
"Louis-Alexandre Taschereau"
"Mykola Plaviuk"
"Rajko Dodic"
"صالح سليم"
"Tsunesaburō Makiguchi"
"Yan Gi-tak"
"Abdul Qadir (Afghan communist)"
"Ernesto Samper"
