"label"
"Lonsdale Cup"
"Malibu Stakes"
"Moonee Valley Racing Club"
"Mrs. Revere Stakes"
"Pegasus Stakes"
"Ranvet Stakes"
"Revolution (Bahnradsport)"
"Sorrento Stakes"
"Strade Bianche"
"Tour of California"
"Twixt Stakes"
"Breeders' Cup Dirt Mile"
"Carbine Club Stakes (ATC)"
"Circuit Cycliste Sarthe"
"Dubai Golden Shaheen"
"Flight Stakes"
"Fourstardave Handicap"
"Grand Prix Rudy Dhaenens"
"Hollywood Oaks"
"Lightning Novices' Chase"
