"label"
"Tony Zale"
"Welcome Ncita"
"William Douglas (boxer)"
"Zachary Wohlman"
"Andre Ward"
"Andrew Golota"
"Cruz Carbajal"
"Darren Dyer"
"Eddie Campagnuolo"
"Gary Balletto"
"Humberto Soto"
"ジャン・ピエロ・ペレス"
"Jerson Ravelo"
"José Emilio Perea"
"Kevin Bizier"
"Kim Song-guk"
"メッグン・シンスラット"
"Paweł Wolak"
"Phil Williams (boxer)"
"Phil Zwick"
