"label"
"Himari Noihara"
"C-18 (Dragon Ball)"
"Basara Nekki"
"Freeza"
"Gohan (Dragon Ball)"
"Himura Kenshin"
"Airi Masaki (Tenchi Muyō!)"
"Pegasus Seiya"
"Renji Abarai"
"Sailor Neptune"
"Saito (Ghost in the Shell)"
"Vash the Stampede"
"Yuki Nagato"
"Yūko Ichihara"
"Rei Ayanami"
"Sumeragi Subaru"
"Athrun Zala"
"Daisuke Jigen"
"Gaara"
"List of Chobits characters"
