"label","Geburtsdatum"
"Liz Saville-Roberts","1965"
"Lucy Frazer",""
"Maggie Throup",""
"Marcus Fysh",""
"Maria Caulfield",""
"Melanie Onn",""
"Michael Frost (politician)",""
"Michelle Donelan","1984"
"Mike Wood (Conservative politician)",""
"Owen Thompson","1978-03-17"
"Patrick Grady",""
"Paul Monaghan",""
"Phil Boswell",""
"Ranil Jayawardena","1986-09-03"
"Rebecca Pow",""
"Royston Smith (politician)",""
"Steve Kamper",""
"Steven Paterson",""
"Thangam Debbonaire","1966-08-03"
"Trish Doyle",""
