"label"
"Otto Stuppacher"
"Ricardo Londoño"
"Stephen South"
"Ted Whiteaway"
"Héctor Rebaque"
""
"Colin Davis (racing driver)"
"Alberto Rodriguez Larreta"
"Carlo Facetti"
"Guy Mairesse"
"Peter Hirt"
"Tim Schenken"
"Willi Heeks"
"Willy Mairesse"
"Antônio Pizzonia"
"Jackie Lewis"
"Mike Harris (racing driver)"
"Stuart Lewis-Evans"
"George Fonder"
"Jim Rigsby"
