"label"
"Pegasus (Efteling)"
"Pegasus (Mt. Olympus Water and Theme Park)"
"Power Surge (water ride)"
"Revolution (Pleasure Beach Blackpool)"
"Revolution (Six Flags Magic Mountain)"
"Roar (roller coaster)"
"Rougarou (roller coaster)"
"Saw – The Ride"
"Scorpion (roller coaster)"
"Scream (Six Flags)"
"Scream (roller coaster)"
"Snake River Falls"
"Speed: No Limits"
"Speed – The Ride"
"Storm Chaser (roller coaster)"
"Teststrecke (Achterbahn)"
"The Bat (Kings Island; opened 1981)"
"The Bat (Kings Island; opened 1993)"
"The Beast (roller coaster)"
"The Dark Knight Coaster"
