"label"
"Atyusz III Atyusz"
"Batiz Negol"
"Benedict, son of Samud"
"Brocca"
"Bucan"
"Cadarius"
"Charena"
"Cumpurdinus"
"Demetrius I Csák"
"Dominic Miskolc"
"Esau (judge royal)"
"Gabriel (judge royal)"
"George, son of Cronik"
"George (judge royal)"
"Gereon (judge royal)"
"Héder"
"Julius (judge royal)"
"Ladislaus IV Kán"
"Ladislaus I Kán"
"Lawrence (judge royal)"
