"label","Geburtsdatum"
"Aina More","1992-05-12"
"Airavt",""
"古川愛李","1989-12-13"
"谷川愛梨","1995-12-05"
"吉田朱里","1996-08-16"
"塩野瑛久",""
"Akira Inoue",""
"Alberto Frigo","1979-07-21"
"Aleesa Cohene",""
"Анд, Алексей Дмитриевич",""
"Alex Wright (musician)",""
"Alexander Klevan","1950-10-22"
"Alexandra Cardenas","1976"
"Alexis Spight",""
"Alfred Rozelaar Green",""
"アレン・ハインズ",""
"Aman Trikha",""
"Amarachi",""
"Amir Nojan",""
"Anderson East",""
