"label"
"سيكاس مستدير"
"Dioon"
"Macrozamia communis"
"Williamsonia (plant)"
"Cycas sphaerica"
"Bowenia spectabilis"
"Zamia lucayana"
"Zamia paucijuga"
"Encephalartos senticosus"
"Macrozamia"
"Cycas chamaoensis"
"Encephalartos caffer"
"Zamia cremnophila"
"Macrozamia cardiacensis"
"Macrozamia miquelii"
"Macrozamia pauli-guilielmi"
"Zamia ipetiensis"
"زاميا مستدقة"
"Zamia herrerae"
"Ceratozamia fuscoviridis"
