"Geburtsort","birth place","label"
"","","Frank Young (basketball)"
"","","Kenneth Tolon II"
"","","Allan Evridge"
"","","James Eayrs"
"","","Anne Thorius"
"","","Ed Voss"
"","","Breanna Stewart"
"","","Gay Elmore"
"","","Churchill Odia"
"","","Erling Platou"
"","","Joe Griffin"
"","","Divya Singh"
"","","Mike Klinkenborg"
"","","Bret Stafford"
"","","Ben McLaughlin"
"","","Lowell Hamilton"
"","","Shea Morenz"
"","","Yous Mbao"
