"current league","ballpark","owners","Wikipage revision ID","city","Link from a Wikipage to an external page","label","Wikipage page ID"
"","http://dbpedia.org/resource/Union_Grounds","","679441340","http://dbpedia.org/resource/Brooklyn","http://www.baseball-reference.com/teams/BRA/1875.shtml","1875 Brooklyn Atlantics season","25684029"
"","","","647475651","","http://www.cbl.org.cn/","2010 China Baseball League season","33901772"
"","","","633932058","","","1962 Nippon Professional Baseball season","37122938"
"American Association American Association","http://dbpedia.org/resource/Congress_Street_Grounds","","679272404","http://dbpedia.org/resource/Boston","http://www.baseball-reference.com/teams/BOS/1891.shtml","1891 Boston Reds season","15706391"
