"label"
"Marshall Teague"
"Pancho Carter"
"Patty Moise"
"Roger Mears"
"Thomas Cox (racing driver)"
"Bobby Isaac"
"Curtis Markham"
"Ernie Irvan"
"Fireball Roberts"
"Ken Alexander"
"Blaise Alexander"
"Bob Barron"
"David Simko"
"Marvin Burke"
"Baxter Price"
"Earle Canavan"
"Jim Cook"
"Ty Norris"
"Auggie Vidovich II"
"J. R. Patton"
