"label"
"Agnes Simon"
"Yoo Nam-kyu"
"Li Li (Tischtennisspielerin)"
"Stellan Bengtsson"
"Peter Karlsson (table tennis)"
"Xu Yinsheng"
"Christian Süß"
"Feng Tianwei"
"Wang Yuegu"
"Jan-Ove Waldner"
"Kelly Sibley"
"Natalia Partyka"
"Kasumi Ishikawa"
"Mariann Domonkos"
"グスターボ・ツボイ"
"Mihaela Șteff"
"Pak Yung-sun"
"陳丹蕾"
"Ladislav Štípek"
"Lau Sek Fong"
