"label"
"Bernd Höing"
"Günther Schrörs"
"Raimund Hörmann"
"Edith Eckbauer"
"Walter Dießner"
"Kristina Mundt"
"Michael Schwan"
"Detlef Kirchhoff (Ruderer)"
"Hans-Joachim Hannemann (Ruderer)"
"Hans-Ulrich Schmied"
"Ullrich Dießner"
"Dirk Schreyer"
"Klaus-Dieter Neubert"
"Manfred Misselhorn"
"Michael Obst (Ruderer)"
"Peter van Roye"
"Dieter Schubert (Ruderer)"
"Hans Joachim Puls"
"Eckhard Martens"
"Joachim Böhmer"
