"label"
"Bianca Scott"
"Blossom Jackson"
"Boycie"
"Boyd Hoyland"
"Cat MacKenzie"
"Chrissie Watts"
"Curly Watts"
"Days of Our Lives characters (2000s)"
"Den Watts"
"Denise Fox"
"Dominic Thompson"
"Doreen Corkhill"
"Dot Cotton"
"Dotty Cotton"
"Duke Lavery"
"EJ DiMera"
"Eunice Gardner Wyatt"
"Fox Crane"
"Huw Edwards (EastEnders)"
"Indigo Walker"
