"label"
"Cole Weston"
"George C. Cox"
"Austin Post"
"Peter Gimbel"
"Stan Waterman"
""
""
""
"Len Prince"
"Stuart Rome"
""
"David Bachrach"
"Jo Ann Callis"
"Lorne Resnick"
"Malerie Marder"
"Evelyn Hockstein"
"Keith F. Davis"
"Francis Wolff"
"Jack Aeby"
"William Claxton (photographer)"
